APC,Provider State,Outpatient Services,Average Estimated Submitted Charges,Average Total Payments
0078 - Level III Pulmonary Treatment,VA,6855,500.6501867,92.89055872
0078 - Level III Pulmonary Treatment,VT,1208,401.4838245,102.2978891
0078 - Level III Pulmonary Treatment,WA,4804,424.664642,102.8595649
0078 - Level III Pulmonary Treatment,WI,6609,408.8158012,96.82899834
0078 - Level III Pulmonary Treatment,WV,2204,407.1592967,87.36138838
0078 - Level III Pulmonary Treatment,WY,553,406.2812658,99.96390597
0096 - Level II Noninvasive Physiologic Studies,AK,85,756.6994118,123.204
0096 - Level II Noninvasive Physiologic Studies,AL,4023,824.6813448,93.68469302
0096 - Level II Noninvasive Physiologic Studies,AR,3375,586.5215881,96.99378667
0096 - Level II Noninvasive Physiologic Studies,AZ,1158,805.0618221,103.7599655
0096 - Level II Noninvasive Physiologic Studies,CA,10270,1163.429058,123.1296397
0096 - Level II Noninvasive Physiologic Studies,CO,1523,1028.567098,106.5892383
0096 - Level II Noninvasive Physiologic Studies,CT,2715,790.5299411,120.0046888
0096 - Level II Noninvasive Physiologic Studies,DC,341,612.3346334,109.5692375
0096 - Level II Noninvasive Physiologic Studies,DE,1842,866.531759,109.6790119
0096 - Level II Noninvasive Physiologic Studies,FL,7681,924.123838,101.4612616
0096 - Level II Noninvasive Physiologic Studies,GA,5038,678.096574,100.031451
0096 - Level II Noninvasive Physiologic Studies,HI,83,394.6566265,112.6644578
0096 - Level II Noninvasive Physiologic Studies,IA,2579,604.8152811,102.2458627
0096 - Level II Noninvasive Physiologic Studies,ID,421,287.6753682,99.82185273
0096 - Level II Noninvasive Physiologic Studies,IL,15386,908.1939633,104.9560425
0096 - Level II Noninvasive Physiologic Studies,IN,8253,777.5467491,102.2235769
0096 - Level II Noninvasive Physiologic Studies,KS,954,975.4753145,98.30400419
0096 - Level II Noninvasive Physiologic Studies,KY,5620,634.427274,97.20488434
0096 - Level II Noninvasive Physiologic Studies,LA,1335,641.2150187,96.53751311
0096 - Level II Noninvasive Physiologic Studies,MA,8140,743.3634951,128.8243661
0096 - Level II Noninvasive Physiologic Studies,ME,2982,528.0184038,103.4359323
0096 - Level II Noninvasive Physiologic Studies,MI,10051,563.0075455,102.4023759
0096 - Level II Noninvasive Physiologic Studies,MN,2909,714.9643279,109.9397216
0096 - Level II Noninvasive Physiologic Studies,MO,5127,720.3356466,99.77786425
0096 - Level II Noninvasive Physiologic Studies,MS,3005,1100.645238,90.36335441
0096 - Level II Noninvasive Physiologic Studies,MT,686,494.5672449,108.0964431
0096 - Level II Noninvasive Physiologic Studies,NC,6151,689.096651,98.73316046
0096 - Level II Noninvasive Physiologic Studies,ND,1241,409.7962611,106.9186785
0096 - Level II Noninvasive Physiologic Studies,NE,1158,757.6823834,102.5861399
0096 - Level II Noninvasive Physiologic Studies,NH,1463,660.9655639,113.6007245
0096 - Level II Noninvasive Physiologic Studies,NJ,7186,1261.780948,119.1045978
0096 - Level II Noninvasive Physiologic Studies,NM,628,357.1524841,104.0232962
0096 - Level II Noninvasive Physiologic Studies,NV,344,1566.521163,112.8918314
0096 - Level II Noninvasive Physiologic Studies,NY,5996,657.5836724,113.7687525
0096 - Level II Noninvasive Physiologic Studies,OH,14171,651.36263,98.86237316
0096 - Level II Noninvasive Physiologic Studies,OK,2005,630.2280898,91.41608978
0096 - Level II Noninvasive Physiologic Studies,OR,1012,630.0142787,112.1452075
0096 - Level II Noninvasive Physiologic Studies,PA,12899,1045.606837,103.4413854
0096 - Level II Noninvasive Physiologic Studies,RI,1106,632.4297649,112.5176673
0096 - Level II Noninvasive Physiologic Studies,SC,3829,720.4726743,98.87059546
0096 - Level II Noninvasive Physiologic Studies,SD,419,489.4616706,108.7983771
0096 - Level II Noninvasive Physiologic Studies,TN,6938,617.4548299,95.93575814
0096 - Level II Noninvasive Physiologic Studies,TX,11213,867.6625649,101.8129698
0096 - Level II Noninvasive Physiologic Studies,UT,498,444.3480321,96.02773092
0096 - Level II Noninvasive Physiologic Studies,VA,7417,652.5545126,101.5936794
0096 - Level II Noninvasive Physiologic Studies,VT,501,1059.101597,110.0573054
0096 - Level II Noninvasive Physiologic Studies,WA,1848,651.0852165,111.8662175
0096 - Level II Noninvasive Physiologic Studies,WI,3207,650.4668288,104.3731431
0096 - Level II Noninvasive Physiologic Studies,WV,1335,407.9485843,94.04585019
0096 - Level II Noninvasive Physiologic Studies,WY,82,460.9278049,108.4115854
0203 - Level IV Nerve Injections,AK,*,*,*
0203 - Level IV Nerve Injections,AL,136,4152.238162,775.4144853
0203 - Level IV Nerve Injections,AR,117,3371.553162,785.9130769
0203 - Level IV Nerve Injections,AZ,165,3557.619091,983.1962424
0203 - Level IV Nerve Injections,CA,624,4975.082147,1089.767692
0203 - Level IV Nerve Injections,CO,65,7977.732154,1104.140154
0203 - Level IV Nerve Injections,CT,121,2623.471074,1028.218926
0203 - Level IV Nerve Injections,DC,15,5025.676,1056.904
0203 - Level IV Nerve Injections,DE,*,*,*
0203 - Level IV Nerve Injections,FL,662,5901.620166,892.9219033
0203 - Level IV Nerve Injections,GA,208,4116.20476,878.9888942
0203 - Level IV Nerve Injections,HI,*,*,*
0203 - Level IV Nerve Injections,IA,46,3315.475217,1028.104565
0203 - Level IV Nerve Injections,ID,16,3416.675,958.26375
0203 - Level IV Nerve Injections,IL,498,3563.483574,897.2817871
0203 - Level IV Nerve Injections,IN,195,4158.528051,894.9929744
0203 - Level IV Nerve Injections,KS,165,6445.108061,870.8942424
0203 - Level IV Nerve Injections,KY,97,2708.542887,843.8076289
0203 - Level IV Nerve Injections,LA,65,4873.736923,826.054
0203 - Level IV Nerve Injections,MA,370,2112.580135,1137.204541
0203 - Level IV Nerve Injections,ME,58,2724.049828,899.5898276
0203 - Level IV Nerve Injections,MI,268,2930.40847,923.1224627
0203 - Level IV Nerve Injections,MN,149,3191.700604,970.2846309
0203 - Level IV Nerve Injections,MO,173,3233.954046,898.6868208
0203 - Level IV Nerve Injections,MS,74,5848.025946,790.8227027
0203 - Level IV Nerve Injections,MT,18,3188.56,992.1811111
0203 - Level IV Nerve Injections,NC,159,2742.288868,838.7056604
0203 - Level IV Nerve Injections,ND,17,3278.385882,1062.070588
0203 - Level IV Nerve Injections,NE,46,4189.347174,1020.767174
0203 - Level IV Nerve Injections,NH,45,3812.623778,1075.832222
0203 - Level IV Nerve Injections,NJ,129,4744.863256,1045.434884
0203 - Level IV Nerve Injections,NM,18,3628.196667,876.2094444
0203 - Level IV Nerve Injections,NV,11,5811.726364,983.8645455
0203 - Level IV Nerve Injections,NY,320,4024.312344,1053.764875
0203 - Level IV Nerve Injections,OH,578,2924.014896,876.7927336
0203 - Level IV Nerve Injections,OK,318,3490.444308,858.1023585
0203 - Level IV Nerve Injections,OR,27,4064.858519,1092.266296
0203 - Level IV Nerve Injections,PA,133,5518.33,923.8219549
0203 - Level IV Nerve Injections,RI,*,*,*
0203 - Level IV Nerve Injections,SC,65,4382.715538,841.5063077
0203 - Level IV Nerve Injections,SD,306,2968.28085,1049.415
0203 - Level IV Nerve Injections,TN,79,4230.937468,817.8621519
0203 - Level IV Nerve Injections,TX,1119,4264.25059,881.8711439
0203 - Level IV Nerve Injections,UT,30,3037.694,867.569
0203 - Level IV Nerve Injections,VA,73,4031.513699,854.9321918
0203 - Level IV Nerve Injections,VT,*,*,*
0203 - Level IV Nerve Injections,WA,109,3281.817523,1019.558624
0203 - Level IV Nerve Injections,WI,139,3568.487482,978.8418705
0203 - Level IV Nerve Injections,WV,139,3699.961511,806.5602878
0203 - Level IV Nerve Injections,WY,13,2359.461538,984.1246154
0204 - Level I Nerve Injections,AK,265,477.5784528,214.0337736
0204 - Level I Nerve Injections,AL,1717,1703.953733,150.20212
0204 - Level I Nerve Injections,AR,1484,971.8931402,161.9911523
0204 - Level I Nerve Injections,AZ,2710,1235.077365,172.0607343
0204 - Level I Nerve Injections,CA,25094,829.1656396,205.5631135
0204 - Level I Nerve Injections,CO,4274,767.9890571,177.0807511
0204 - Level I Nerve Injections,CT,1981,1069.27215,202.5451085
0204 - Level I Nerve Injections,DC,964,888.1888485,184.1160373
0204 - Level I Nerve Injections,DE,174,666.9675862,187.4456322
0204 - Level I Nerve Injections,FL,10704,885.5508343,170.5400383
0204 - Level I Nerve Injections,GA,4409,1095.07843,166.9494012
0204 - Level I Nerve Injections,HI,58,1017.048621,202.2682759
0204 - Level I Nerve Injections,IA,4723,714.4605399,169.7610142
0204 - Level I Nerve Injections,ID,1060,514.0218868,168.688566
0204 - Level I Nerve Injections,IL,17459,708.0709892,175.5177473
0204 - Level I Nerve Injections,IN,3534,1394.837999,167.533605
0204 - Level I Nerve Injections,KS,3273,927.7957898,167.7412588
0204 - Level I Nerve Injections,KY,3710,979.9882965,160.4429569
0204 - Level I Nerve Injections,LA,1458,1010.264239,160.6504184
0204 - Level I Nerve Injections,MA,20866,709.3914253,214.1472295
0204 - Level I Nerve Injections,ME,3296,269.9063167,165.4961711
0204 - Level I Nerve Injections,MI,15267,464.7686775,171.8683939
0204 - Level I Nerve Injections,MN,14594,414.8425093,180.9600713
0204 - Level I Nerve Injections,MO,10888,769.3604353,165.377049
0204 - Level I Nerve Injections,MS,1967,786.2806507,153.518846
0204 - Level I Nerve Injections,MT,4558,281.6231681,182.6324682
0204 - Level I Nerve Injections,NC,12822,626.1850967,163.2211855
0204 - Level I Nerve Injections,ND,8476,266.1354318,176.0743204
0204 - Level I Nerve Injections,NE,896,1495.635714,173.6570201
0204 - Level I Nerve Injections,NH,4970,474.8350563,191.3762575
0204 - Level I Nerve Injections,NJ,1660,1699.256331,201.3405422
0204 - Level I Nerve Injections,NM,2454,438.3775346,164.2412714
0204 - Level I Nerve Injections,NV,401,1530.313042,181.8291521
0204 - Level I Nerve Injections,NY,13304,968.6656517,187.6397903
0204 - Level I Nerve Injections,OH,18749,731.0890938,161.0577908
0204 - Level I Nerve Injections,OK,6646,450.3974767,165.9841875
0204 - Level I Nerve Injections,OR,2716,516.2834205,185.3590795
0204 - Level I Nerve Injections,PA,22383,639.6060461,164.9450744
0204 - Level I Nerve Injections,RI,386,1363.060363,190.6786528
0204 - Level I Nerve Injections,SC,3237,780.4816806,162.6339172
0204 - Level I Nerve Injections,SD,5604,792.9491006,163.0156246
0204 - Level I Nerve Injections,TN,4680,956.9016688,159.3217372
0204 - Level I Nerve Injections,TX,20754,859.490518,169.6461805
0204 - Level I Nerve Injections,UT,2917,506.653507,165.8602605
0204 - Level I Nerve Injections,VA,11008,872.3880487,170.9352162
0204 - Level I Nerve Injections,VT,2781,467.8292736,183.3768069
0204 - Level I Nerve Injections,WA,7319,550.060071,186.4919169
0204 - Level I Nerve Injections,WI,13587,485.288737,173.1742327
0204 - Level I Nerve Injections,WV,3307,566.5880738,155.3005383
0204 - Level I Nerve Injections,WY,262,1319.694466,183.8019847
0206 - Level II Nerve Injections,AK,34,1101.962647,328.7152941
0206 - Level II Nerve Injections,AL,512,1373.063457,220.5777539
0206 - Level II Nerve Injections,AR,579,804.4099827,242.8078756
0206 - Level II Nerve Injections,AZ,732,1327.988689,256.7960656
0206 - Level II Nerve Injections,CA,3371,1764.700409,313.2149659
0206 - Level II Nerve Injections,CO,726,1435.176253,265.1412121
0206 - Level II Nerve Injections,CT,736,1429.702337,292.5610462
0206 - Level II Nerve Injections,DC,134,1585.916269,269.5911194
0206 - Level II Nerve Injections,DE,27,1246.113333,281.8555556
0206 - Level II Nerve Injections,FL,2387,1588.321768,239.3146209
0206 - Level II Nerve Injections,GA,910,1327.292132,254.467967
0206 - Level II Nerve Injections,HI,25,1202.008,291.0808
0206 - Level II Nerve Injections,IA,1071,607.1128571,234.6895051
0206 - Level II Nerve Injections,ID,281,544.2635943,245.497758
0206 - Level II Nerve Injections,IL,2334,1066.731654,254.4413668
0206 - Level II Nerve Injections,IN,1167,1363.289477,241.2981405
0206 - Level II Nerve Injections,KS,725,1066.015641,228.7350345
0206 - Level II Nerve Injections,KY,1042,1049.849328,237.5795202
0206 - Level II Nerve Injections,LA,440,1550.254886,236.07725
0206 - Level II Nerve Injections,MA,2748,1060.429818,308.7339229
0206 - Level II Nerve Injections,ME,370,482.7624595,242.1179459
0206 - Level II Nerve Injections,MI,2549,891.1461161,248.6818203
0206 - Level II Nerve Injections,MN,1453,937.3768273,268.237137
0206 - Level II Nerve Injections,MO,1477,931.8663913,238.0416858
0206 - Level II Nerve Injections,MS,473,1412.681755,236.6104651
0206 - Level II Nerve Injections,MT,315,580.9961587,261.7124762
0206 - Level II Nerve Injections,NC,2587,1102.765698,242.1235215
0206 - Level II Nerve Injections,ND,668,404.3405539,249.8549401
0206 - Level II Nerve Injections,NE,253,1242.062885,257.3647431
0206 - Level II Nerve Injections,NH,736,706.15625,283.7785462
0206 - Level II Nerve Injections,NJ,821,1782.460097,291.2316078
0206 - Level II Nerve Injections,NM,182,838.7297802,226.7760989
0206 - Level II Nerve Injections,NV,97,1590.125979,268.5943299
0206 - Level II Nerve Injections,NY,2429,1240.329004,239.0777686
0206 - Level II Nerve Injections,OH,2587,1012.503491,232.158191
0206 - Level II Nerve Injections,OK,320,1408.534531,236.477
0206 - Level II Nerve Injections,OR,496,716.0850202,270.1510685
0206 - Level II Nerve Injections,PA,2210,1640.123751,252.3426878
0206 - Level II Nerve Injections,RI,229,1031.204017,278.7741048
0206 - Level II Nerve Injections,SC,830,1072.79147,241.999747
0206 - Level II Nerve Injections,SD,427,928.342623,229.6015925
0206 - Level II Nerve Injections,TN,1642,1037.661967,249.0446346
0206 - Level II Nerve Injections,TX,2808,1604.836798,252.144797
0206 - Level II Nerve Injections,UT,559,549.7060644,251.5928086
0206 - Level II Nerve Injections,VA,1345,1106.199784,247.4156654
0206 - Level II Nerve Injections,VT,450,1146.183867,276.5858222
0206 - Level II Nerve Injections,WA,1487,987.4576732,271.5261264
0206 - Level II Nerve Injections,WI,1698,848.9309835,264.6053592
0206 - Level II Nerve Injections,WV,567,693.7598765,233.4689418
0206 - Level II Nerve Injections,WY,37,1064.328108,278.5713514
0207 - Level III Nerve Injections,AK,577,1742.973795,566.4009185
0207 - Level III Nerve Injections,AL,19923,2902.333601,444.2551724
0207 - Level III Nerve Injections,AR,7761,1920.357976,462.5749607
0207 - Level III Nerve Injections,AZ,4017,2250.722651,507.7784466
0207 - Level III Nerve Injections,CA,20426,4105.910624,580.3172109
0207 - Level III Nerve Injections,CO,5776,2078.702244,494.9322351
0207 - Level III Nerve Injections,CT,4942,2094.804551,580.1472946
0207 - Level III Nerve Injections,DC,1160,1665.067905,510.9493017
0207 - Level III Nerve Injections,DE,552,1634.093424,527.2576812
0207 - Level III Nerve Injections,FL,15495,2883.100497,476.8438761
0207 - Level III Nerve Injections,GA,11424,2493.023658,470.011875
0207 - Level III Nerve Injections,HI,151,2281.001589,568.4140397
0207 - Level III Nerve Injections,IA,10710,2015.134865,484.9206499
0207 - Level III Nerve Injections,ID,2069,1112.652552,457.3897728
0207 - Level III Nerve Injections,IL,27372,2354.067028,499.7468957
0207 - Level III Nerve Injections,IN,17359,2510.169482,472.3581278
0207 - Level III Nerve Injections,KS,14535,1793.479904,480.8195445
0207 - Level III Nerve Injections,KY,16545,2280.63015,472.3510015
0207 - Level III Nerve Injections,LA,8665,2429.213875,433.9580773
0207 - Level III Nerve Injections,MA,23334,2010.99912,615.2135348
0207 - Level III Nerve Injections,ME,2208,1384.813691,498.8136322
0207 - Level III Nerve Injections,MI,17965,1770.759662,501.0607331
0207 - Level III Nerve Injections,MN,10855,1394.358692,525.0761216
0207 - Level III Nerve Injections,MO,31577,1785.145815,475.9610577
0207 - Level III Nerve Injections,MS,3400,2871.783732,456.0732618
0207 - Level III Nerve Injections,MT,2616,1242.405795,511.129354
0207 - Level III Nerve Injections,NC,25030,1956.704033,472.776374
0207 - Level III Nerve Injections,ND,4194,1100.536879,518.9876323
0207 - Level III Nerve Injections,NE,3996,1953.982583,500.6881331
0207 - Level III Nerve Injections,NH,3915,2119.957407,545.5912337
0207 - Level III Nerve Injections,NJ,7340,3595.130713,568.4059986
0207 - Level III Nerve Injections,NM,1396,2317.441246,494.0588467
0207 - Level III Nerve Injections,NV,1560,2201.94416,528.2783141
0207 - Level III Nerve Injections,NY,22360,2716.635426,556.3894177
0207 - Level III Nerve Injections,OH,30498,2136.763663,469.6996911
0207 - Level III Nerve Injections,OK,13045,2499.494038,457.1666938
0207 - Level III Nerve Injections,OR,2611,1521.036086,519.1479471
0207 - Level III Nerve Injections,PA,23863,2805.225494,488.9679374
0207 - Level III Nerve Injections,RI,1160,1756.906155,520.8257155
0207 - Level III Nerve Injections,SC,11757,1743.582125,473.464041
0207 - Level III Nerve Injections,SD,8671,1580.607925,500.4566152
0207 - Level III Nerve Injections,TN,7282,2389.402503,452.2121684
0207 - Level III Nerve Injections,TX,32450,3267.549853,470.4857109
0207 - Level III Nerve Injections,UT,2535,1533.060828,471.0544694
0207 - Level III Nerve Injections,VA,10767,2290.873684,482.3409538
0207 - Level III Nerve Injections,VT,2173,1444.204017,525.813226
0207 - Level III Nerve Injections,WA,9402,1896.604263,508.2005127
0207 - Level III Nerve Injections,WI,15296,1658.049537,490.258716
0207 - Level III Nerve Injections,WV,4146,1875.776223,444.6992451
0207 - Level III Nerve Injections,WY,1275,1785.03538,507.7633333
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",AK,653,4056.360031,921.8905207
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",AL,12773,4177.589822,693.789459
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",AR,5519,3182.590768,721.0711886
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",AZ,2904,3419.926009,798.3718492
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",CA,10480,4731.44213,941.1099055
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",CO,5191,4171.361304,803.0288153
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",CT,4486,4638.232771,891.2880383
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",DC,536,2732.827369,811.2815299
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",DE,965,2819.311762,792.3025285
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",FL,19179,4688.313136,752.1847416
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",GA,11977,4010.5831,741.5125382
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",HI,458,2375.847817,831.2135808
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",IA,5041,2866.140845,756.9930946
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",ID,2251,3125.002959,751.2211195
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",IL,18696,3938.238569,776.3328001
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",IN,14447,3954.024809,750.4721229
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",KS,3763,3964.577481,747.556253
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",KY,9294,3207.329162,711.8715978
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",LA,4489,3995.767915,709.8077723
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",MA,8920,3060.178239,955.4463016
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",ME,3223,2329.063444,756.0592771
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",MI,17281,3060.41332,772.7886829
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",MN,5739,3137.249779,821.2933717
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",MO,12905,3872.213019,739.7837342
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",MS,4690,3810.900405,702.2880682
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",MT,1505,2034.773302,802.2172558
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",NC,15017,3170.69581,744.01703
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",ND,1436,2474.572577,793.0005084
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",NE,2770,3406.412347,765.1491083
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",NH,2676,3754.065717,848.8331726
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",NJ,9098,6382.048313,881.3551297
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",NM,1724,2917.734872,781.8195824
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",NV,345,6166.969536,838.0178551
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",NY,12624,3602.479982,814.2307058
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",OH,16362,3912.227069,734.6165518
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",OK,7408,4035.062559,724.3038472
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",OR,4093,2961.596301,839.1282971
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",PA,16689,4527.768926,771.2691354
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",RI,1002,2990.670858,821.8124451
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",SC,8335,3522.076486,723.5195777
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",SD,2099,3312.249843,814.7075941
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",TN,11696,3934.802615,707.9001471
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",TX,22585,4711.897877,748.311919
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",UT,3522,2776.135011,746.3808291
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",VA,10882,3441.496482,745.5799449
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",VT,865,3719.307954,820.6051908
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",WA,6897,4493.475378,837.6058547
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",WI,6108,3805.811807,771.0723919
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",WV,3275,2587.47673,707.3098046
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",WY,514,3090.062879,803.2946498
0265 - Level I Diagnostic and Screening Ultrasound,AK,519,418.3974374,74.31252408
0265 - Level I Diagnostic and Screening Ultrasound,AL,9116,467.1455595,55.60617266
0265 - Level I Diagnostic and Screening Ultrasound,AR,7309,316.1622876,56.9133233
0265 - Level I Diagnostic and Screening Ultrasound,AZ,5643,669.0943115,63.95769094
0265 - Level I Diagnostic and Screening Ultrasound,CA,38364,632.7419599,74.24797857
0265 - Level I Diagnostic and Screening Ultrasound,CO,6935,539.0142192,63.82779957
0265 - Level I Diagnostic and Screening Ultrasound,CT,14147,592.3761335,71.94134163
0265 - Level I Diagnostic and Screening Ultrasound,DC,2882,514.4230673,64.5930465
0265 - Level I Diagnostic and Screening Ultrasound,DE,2373,258.169469,64.78760641
0265 - Level I Diagnostic and Screening Ultrasound,FL,39124,693.950981,60.7037877
0265 - Level I Diagnostic and Screening Ultrasound,GA,17374,483.220731,58.63611546
0265 - Level I Diagnostic and Screening Ultrasound,HI,1332,306.3621246,67.45713213
0265 - Level I Diagnostic and Screening Ultrasound,IA,4014,340.6426233,60.12547833
0265 - Level I Diagnostic and Screening Ultrasound,ID,2183,269.4529409,59.3874164
0265 - Level I Diagnostic and Screening Ultrasound,IL,31166,579.0633549,62.54730989
0265 - Level I Diagnostic and Screening Ultrasound,IN,12090,526.396311,60.18599835
0265 - Level I Diagnostic and Screening Ultrasound,KS,5353,569.6658042,59.26130021
0265 - Level I Diagnostic and Screening Ultrasound,KY,10553,479.6515645,57.36223065
0265 - Level I Diagnostic and Screening Ultrasound,LA,8362,396.8169613,56.62203181
0265 - Level I Diagnostic and Screening Ultrasound,MA,20627,438.4651311,76.14586367
0265 - Level I Diagnostic and Screening Ultrasound,ME,4732,318.5820097,60.87344041
0265 - Level I Diagnostic and Screening Ultrasound,MI,24641,379.4488913,61.85331196
0265 - Level I Diagnostic and Screening Ultrasound,MN,7426,340.7372152,65.41651629
0265 - Level I Diagnostic and Screening Ultrasound,MO,15425,497.8752486,58.75992415
0265 - Level I Diagnostic and Screening Ultrasound,MS,7184,476.5398622,55.62482043
0265 - Level I Diagnostic and Screening Ultrasound,MT,1712,240.6683645,63.59271028
0265 - Level I Diagnostic and Screening Ultrasound,NC,14884,390.7390661,58.4561939
0265 - Level I Diagnostic and Screening Ultrasound,ND,1667,207.7942711,63.19829034
0265 - Level I Diagnostic and Screening Ultrasound,NE,2536,412.049511,61.33611987
0265 - Level I Diagnostic and Screening Ultrasound,NH,2744,419.7852223,68.02087464
0265 - Level I Diagnostic and Screening Ultrasound,NJ,15350,782.1809746,71.15443974
0265 - Level I Diagnostic and Screening Ultrasound,NM,1922,490.5492612,62.29828304
0265 - Level I Diagnostic and Screening Ultrasound,NV,1106,486.1190325,65.48525316
0265 - Level I Diagnostic and Screening Ultrasound,NY,34116,535.8539723,68.9625554
0265 - Level I Diagnostic and Screening Ultrasound,OH,21734,486.0898293,58.9016909
0265 - Level I Diagnostic and Screening Ultrasound,OK,7153,456.0040123,57.8058465
0265 - Level I Diagnostic and Screening Ultrasound,OR,4698,300.3266901,66.89314176
0265 - Level I Diagnostic and Screening Ultrasound,PA,30753,577.3208015,61.21549833
0265 - Level I Diagnostic and Screening Ultrasound,RI,1583,582.5200948,67.25546431
0265 - Level I Diagnostic and Screening Ultrasound,SC,12063,463.9608091,58.71269833
0265 - Level I Diagnostic and Screening Ultrasound,SD,1365,350.3312601,65.23400733
0265 - Level I Diagnostic and Screening Ultrasound,TN,17087,432.7810804,57.41079124
0265 - Level I Diagnostic and Screening Ultrasound,TX,37458,573.5472433,60.06714534
0265 - Level I Diagnostic and Screening Ultrasound,UT,3325,364.1259098,59.73738647
0265 - Level I Diagnostic and Screening Ultrasound,VA,16336,527.9388712,59.5307762
0265 - Level I Diagnostic and Screening Ultrasound,VT,2062,440.2800145,65.21415616
0265 - Level I Diagnostic and Screening Ultrasound,WA,7883,464.9473741,66.15975644
0265 - Level I Diagnostic and Screening Ultrasound,WI,7732,508.4416335,61.97471676
0265 - Level I Diagnostic and Screening Ultrasound,WV,4370,322.8024302,55.90629291
0265 - Level I Diagnostic and Screening Ultrasound,WY,380,311.7572368,66.49452632
0267 - Level III Diagnostic and Screening Ultrasound,AK,1066,982.9703846,179.1974953
0267 - Level III Diagnostic and Screening Ultrasound,AL,28479,892.1334864,134.336253
0267 - Level III Diagnostic and Screening Ultrasound,AR,13128,928.795569,139.7792527
0267 - Level III Diagnostic and Screening Ultrasound,AZ,15582,1451.24023,155.4175671
0267 - Level III Diagnostic and Screening Ultrasound,CA,94546,1694.683227,178.894
0267 - Level III Diagnostic and Screening Ultrasound,CO,12755,1233.654108,153.756174
0267 - Level III Diagnostic and Screening Ultrasound,CT,15500,1054.397692,173.4138161
0267 - Level III Diagnostic and Screening Ultrasound,DC,2442,846.143534,155.7783374
0267 - Level III Diagnostic and Screening Ultrasound,DE,9150,721.2094011,156.9256601
0267 - Level III Diagnostic and Screening Ultrasound,FL,68506,1295.939762,145.5685286
0267 - Level III Diagnostic and Screening Ultrasound,GA,44599,1022.027106,144.3559631
0267 - Level III Diagnostic and Screening Ultrasound,HI,2283,734.2628121,163.9659921
0267 - Level III Diagnostic and Screening Ultrasound,IA,15197,891.0093801,147.0911469
0267 - Level III Diagnostic and Screening Ultrasound,ID,5603,496.505995,145.0884241
0267 - Level III Diagnostic and Screening Ultrasound,IL,84381,1274.160281,150.3151429
0267 - Level III Diagnostic and Screening Ultrasound,IN,35900,1049.114154,145.7596312
